Scholarship Name,Provider,Eligibility,Benefits,Deadline,How to Apply,Documents Required,Application Mode,URL
Kind Circle Scholarship for Meritorious Students 2025-26,N/A,Deadline:25-Mar-2026,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/kind-circle-scholarship-for-meritorious-students-2025-26
Sensodyne IDA Shining Star Scholarship Programme 2025-26,N/A,Deadline:31-Jan-2026,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/sensodyne-ida-shining-star-scholarship-programme
Norwegian BI Presidential Scholarship 2026,N/A,Norwegian and international students residing in Norway,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/norwegian-bi-presidential-scholarship
IIIT Hyderabad Amgen Scholars Program 2026,N/A,Undergraduate students from Asian countries,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/iiit-hyderabad-amgen-scholars-program-2026
NGSF Internship Program 2025-26,N/A,Undergraduate/postgraduate students,Source: ngsf.in,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/ngsf-internship-program-2025
AScI International Summer Research Programme 2026,N/A,"Bachelor's, Master's, and Doctoral students",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/asci-international-summer-research-programme-2026
UTokyo Amgen Scholars Program 2026,N/A,Students pursuing undergraduate courses in Asian Institutions,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/utokyo-amgen-scholars-program-2026
"Dr. Panjabrao Deshmukh Hostel Maintenance Allowance Scheme, Maharashtra 2025-26",N/A,Wards of alpabhudharak shetkari/registered labourers pursuing specified medical degree courses,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/dr-panjabrao-deshmukh-hostel-maintenance-allowance-scheme-maharashtra-2025
Tingshua University Amgen Scholars Program 2026,N/A,Students enrolled in a Bachelor’s degree programme in Asian universities/colleges,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/tingshua-university-amgen-scholars-program-2026
Maastricht University (UM) NL-High Potential Scholarship 2025,N/A,Postgraduate applicants at the Maastricht University,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/maastricht-university-um-nl-high-potential-scholarship-2025
Chemers Neustein Summer Undergraduate Research Fellowship Program 2026,N/A,Undergraduate students interested in biomedical research,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/chemers-neustein-summer-undergraduate-research-fellowship-program-2026
Taiwan ICDF International Higher Education Scholarship Program 2026,N/A,"Undergraduate, graduate and Ph.D. applicants",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/taiwan-icdf-international-higher-education-scholarship-program-2026
Science Academies Summer Research Fellowship Program 2026,N/A,"Students and teachers in science, engineering, and medicine",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/science-academies-summer-research-fellowship-program
"PM YASASVI Post-Matric Scholarship Scheme For OBC, EBC, And DNT Students, Haryana 2025-26",N/A,Students in Class 11 to Postdoctoral level,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/pm-yasasvi-postmatric-scholarship-scheme-for-obc-ebc-and-dnt-students-haryana-2025
"State Horticulture Scholarship, Nagaland 2026",N/A,Indigenous horticulture students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/state-horticulture-scholarship-nagaland-2026
Newcastle University Vice-Chancellor’s Excellence Undergraduate Scholarship 2026,N/A,Undergraduate students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/newcastle-university-vice-chancellors-excellence-undergraduate-scholarship-2026
